"Census_Tract","Black Total Mortality","White Total Mortality","Total Mortality","Alzheimer's disease","Cancer","Chronic liver disease and cirrhosis","Chronic lower respiratory diseases","Diabetes","Flu and pneumonia","Heart disease","Homicide","Septicemia","Stroke","Suicide","Unintentional injuries"
42003561400,207,42,249,8,55,7,14,9,6,60,8,5,14,,12
42003561500,121,74,195,6,33,,17,6,,44,8,,16,,15
42003561600,22,100,122,,26,5,15,,,26,,6,,,14
42003561700,13,22,35,,7,,,,,7,,,,,
42003561900,122,41,163,5,19,,,,,43,,5,9,,7
42003562000,36,74,110,5,22,,,,,34,,,7,,9
42003562300,124,183,307,13,45,7,19,16,,83,6,6,14,,17
42003562400,102,74,176,5,44,,8,6,,32,6,,8,,6
42003562500,37,85,122,,28,,11,,,28,5,,,,14
42003562600,29,108,137,,32,,5,,6,37,5,,6,,8
42003562700,28,34,62,,6,,,,,13,,,5,,11
42003562800,13,99,112,,26,,5,,,27,,,,,6
42003562900,37,125,162,,43,,11,,,36,,,6,,16
42003563000,55,95,150,,35,,8,,5,24,,,10,5,11
42003563100,,184,188,,54,,7,7,,51,,6,5,,15
42003563200,40,88,128,,26,,8,5,,40,,,12,,12
42003563300,,46,46,,12,,,,,9,,,,5,
42003563800,,400,405,11,66,,14,,8,78,,8,22,,22
42003563900,18,207,225,,53,,8,,,66,,5,11,,19
42003564000,,243,246,6,63,,17,9,5,61,,,,,18
42003564100,,34,35,,,,,,,9,,,,,
42003564200,,145,148,,27,,,6,,39,,,8,,11
42003564400,17,377,394,9,77,5,20,7,8,120,,8,18,,21
42003564500,,170,173,5,39,,6,,6,36,,7,10,,12
