FID,STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Area,Shape__Length
208,42,003,320400,42003320400,1400000US42003320400,3204,Census Tract 3204,G5020,S,852854,0,+40.3847131,-079.9920433,9179302.60864258,20909.5590269382
209,42,003,496101,42003496101,1400000US42003496101,4961.01,Census Tract 4961.01,G5020,S,11880403,95880,+40.2675076,-079.8180446,128901935.673309,56409.4983396849
210,42,003,496200,42003496200,1400000US42003496200,4962,Census Tract 4962,G5020,S,14500164,606003,+40.2997187,-079.8121689,162588759.758606,76128.3787085699
211,42,003,480300,42003480300,1400000US42003480300,4803,Census Tract 4803,G5020,S,2840625,275717,+40.3958876,-079.9626814,33541231.8483887,55462.2784873524
212,42,003,521100,42003521100,1400000US42003521100,5211,Census Tract 5211,G5020,S,4688466,0,+40.4513610,-079.7767720,50461947.2982788,31576.1865851832
213,42,003,439000,42003439000,1400000US42003439000,4390,Census Tract 4390,G5020,S,13860454,0,+40.5897786,-080.1737823,149180911.916138,66461.4638548145
214,42,003,425000,42003425000,1400000US42003425000,4250,Census Tract 4250,G5020,S,1906209,168077,+40.4951611,-079.9496305,22325475.6117554,29570.9751908625
215,42,003,521200,42003521200,1400000US42003521200,5212,Census Tract 5212,G5020,S,7329548,0,+40.4257074,-079.7965493,78887898.8766479,62398.4686314645
216,42,003,110600,42003110600,1400000US42003110600,1106,Census Tract 1106,G5020,S,637590,0,+40.4726916,-079.9155986,6862343.83428955,12586.6395718675
217,42,003,477200,42003477200,1400000US42003477200,4772,Census Tract 4772,G5020,S,2899681,0,+40.3658172,-079.9933247,31209379.7275085,33401.7549581875
218,42,003,474201,42003474201,1400000US42003474201,4742.01,Census Tract 4742.01,G5020,S,3307057,0,+40.3446353,-080.0961354,35593911.7184448,43494.801696232
219,42,003,526201,42003526201,1400000US42003526201,5262.01,Census Tract 5262.01,G5020,S,6188706,0,+40.4888182,-079.7577960,66609047.4950562,38454.3803535172
220,42,003,413500,42003413500,1400000US42003413500,4135,Census Tract 4135,G5020,S,8717229,54875,+40.5810921,-080.0065189,94414620.324707,48242.1924025853
221,42,003,426300,42003426300,1400000US42003426300,4263,Census Tract 4263,G5020,S,5212411,0,+40.5439491,-079.9745845,56101297.3857422,38762.2904005326
222,42,003,429600,42003429600,1400000US42003429600,4296,Census Tract 4296,G5020,S,3443795,0,+40.5096890,-080.0480460,37065530.7150269,36370.9534883587
223,42,003,415002,42003415002,1400000US42003415002,4150.02,Census Tract 4150.02,G5020,S,13037170,0,+40.5535717,-079.9006520,140319459.639221,86797.5055130051
224,42,003,488500,42003488500,1400000US42003488500,4885,Census Tract 4885,G5020,S,9604869,0,+40.3588566,-079.9339848,103377442.918213,54552.3522567616
225,42,003,460002,42003460002,1400000US42003460002,4600.02,Census Tract 4600.02,G5020,S,7541921,0,+40.4663038,-080.1006941,81173620.8792114,45489.2856558017
226,42,003,521402,42003521402,1400000US42003521402,5214.02,Census Tract 5214.02,G5020,S,5739326,0,+40.4038359,-079.7472907,61772391.1386414,43825.3340205248
